mun_code,mun_name,district_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02014,"Ballestero, El",0201401,2015,47.8,12.7,26.8,2.1,37.7,425,97
02015,Barrax,0201501,2022,43.6,15.4,17.7,2.5,31.9,1863,88.4
02015,Barrax,0201501,2021,43.1,16.6,17.9,2.5,31.6,1837,90.2
02015,Barrax,0201501,2020,43.4,15.9,18.5,2.5,31.2,1809,91.7
02015,Barrax,0201501,2019,43.1,16.6,18.8,2.6,29.3,1808,93.2
02015,Barrax,0201501,2018,42.7,17,18.6,2.6,29.1,1836,92.7
02015,Barrax,0201501,2017,42.1,17.8,18.6,2.6,29.3,1872,92.7
02015,Barrax,0201501,2016,42,18,18.2,2.6,26.7,1879,92.8
02015,Barrax,0201501,2015,41.7,18.6,18.5,2.7,26.5,1912,92.1
02016,Bienservida,0201601,2022,51.3,9.5,30.6,2,46,568,98.9
02016,Bienservida,0201601,2021,50.8,9.4,28.9,2,45.8,574,99
02016,Bienservida,0201601,2020,49.2,10.4,26.2,2.1,45,596,97.8
02016,Bienservida,0201601,2019,49.5,9.5,26.4,2,46.8,580,99
02016,Bienservida,0201601,2018,48.6,9.1,25.9,2.1,46.4,603,98
02016,Bienservida,0201601,2017,48.5,9.5,24.9,2.1,46,611,99.3
02016,Bienservida,0201601,2016,48.5,9.5,25.1,2.2,43.7,618,99.2
02016,Bienservida,0201601,2015,48.1,10.4,24.6,2.2,43.6,635,99.2
02017,Bogarra,0201701,2022,58.4,7.1,46.1,1.8,49.5,746,99.2
02017,Bogarra,0201701,2021,58.3,7.4,45.6,1.9,47.9,755,99.2
02017,Bogarra,0201701,2020,58.5,7.2,46,1.9,47.7,768,99.5
02017,Bogarra,0201701,2019,56.6,8.1,41.6,1.9,45.8,811,99.4
02017,Bogarra,0201701,2018,56.8,8.3,41.6,1.9,44.2,847,98.3
02017,Bogarra,0201701,2017,55.9,7.8,41.8,2,41.6,879,98.3
02017,Bogarra,0201701,2016,55.4,8.8,41.9,2,40.5,910,98.2
02017,Bogarra,0201701,2015,55,8.6,41.9,2,41.2,923,98.4
02018,Bonete,0201801,2022,48.2,11.7,25.7,2.4,30.4,980,87.4
02018,Bonete,0201801,2021,47.4,12.7,24.3,2.4,31.9,1002,85.9
02018,Bonete,0201801,2020,46.8,12.7,23,2.5,29.9,1029,85.3
02018,Bonete,0201801,2019,46.6,13.2,23.5,2.5,29.4,1027,84.7
02018,Bonete,0201801,2018,46.5,13.6,24.1,2.5,26.4,1052,84.5
02018,Bonete,0201801,2017,46.2,13.8,23.3,2.5,27.8,1059,85.2
02018,Bonete,0201801,2016,45,14.4,21.8,2.6,26.5,1099,84.7
02018,Bonete,0201801,2015,45.4,14.1,22.7,2.6,26.1,1104,83.9
02019,"Bonillo, El",0201901,2022,48.2,10.9,24.7,2.3,34,2621,97.4
02019,"Bonillo, El",0201901,2021,47.8,11.3,24.4,2.4,32.6,2672,97.1
02019,"Bonillo, El",0201901,2020,47.6,11.6,24.5,2.4,31.4,2691,96.9
02019,"Bonillo, El",0201901,2019,47.2,12.3,24.9,2.4,31.2,2696,97.1
02019,"Bonillo, El",0201901,2018,46.7,12.7,24.2,2.5,30.7,2748,97.1
02019,"Bonillo, El",0201901,2017,46.1,13.6,24,2.5,30,2810,97
02019,"Bonillo, El",0201901,2016,45.9,14,24.2,2.5,30.1,2838,97.4
02019,"Bonillo, El",0201901,2015,45.4,14.7,24.3,2.5,29.9,2889,97.5
02020,Carcelén,0202001,2022,53.7,10.6,38.2,2,46.3,490,91.6
02020,Carcelén,0202001,2021,53.6,10.5,39.3,2.1,43.3,484,93.2
02020,Carcelén,0202001,2020,52.7,11.5,37.9,2.1,43.9,496,92.1
02020,Carcelén,0202001,2019,53.5,10.5,39.7,2.1,41.9,494,93.9
02020,Carcelén,0202001,2018,54,10.4,40.9,2.1,41.8,501,95
02020,Carcelén,0202001,2017,54.3,10.2,41.8,2.1,40.9,499,93.3
02020,Carcelén,0202001,2016,53.5,11.4,41.3,2.1,37.1,516,94.4
02020,Carcelén,0202001,2015,52.5,12.3,40.3,2.1,39.6,529,95.4
02021,Casas de Juan Núñez,0202101,2022,44.2,16.7,21,2.2,40.1,1350,82.1
02021,Casas de Juan Núñez,0202101,2021,43.9,16.9,21.2,2.3,39.7,1356,83
02021,Casas de Juan Núñez,0202101,2020,44.2,16,22.1,2.3,39.4,1359,84.1
02021,Casas de Juan Núñez,0202101,2019,44.9,14.6,23.4,2.2,40.9,1327,85.9
02021,Casas de Juan Núñez,0202101,2018,44.8,14.8,23,2.3,40.6,1307,87.9
02021,Casas de Juan Núñez,0202101,2017,44.6,15.6,23.5,2.2,40.6,1275,89.2
02021,Casas de Juan Núñez,0202101,2016,44.2,15.9,23.1,2.3,38.9,1296,89.9
02021,Casas de Juan Núñez,0202101,2015,44.1,16.8,23.9,2.3,37.5,1322,90.4
02022,Casas de Lázaro,0202201,2022,58.8,1.2,42,1.9,47.4,326,99.4
02022,Casas de Lázaro,0202201,2021,57.8,2.5,40.7,2,44.4,322,97.8
02022,Casas de Lázaro,0202201,2020,56.7,3,38.3,2,43.5,329,97.9
02022,Casas de Lázaro,0202201,2019,56.6,3.4,37.5,2.1,43.1,349,98.9
02022,Casas de Lázaro,0202201,2018,56.8,4.4,38.2,2.1,41,364,98.4
02022,Casas de Lázaro,0202201,2017,56.5,4.3,39.7,2.1,41.8,345,98
02022,Casas de Lázaro,0202201,2016,56.3,5,39,2.1,39.6,359,98
02022,Casas de Lázaro,0202201,2015,55.8,6.1,38.9,2.2,36.3,378,98.4
02023,Casas de Ves,0202301,2022,53.1,7.8,34.8,2,43.5,561,91.4
02023,Casas de Ves,0202301,2021,53.8,6.4,35.3,2,43.5,561,92.9
02023,Casas de Ves,0202301,2020,54.9,6,36.1,2,44.8,565,94.7
02023,Casas de Ves,0202301,2019,54.9,6.7,36.2,2,42.8,564,95.7
02023,Casas de Ves,0202301,2018,54.6,6.7,36,2,43.3,569,95.6
02023,Casas de Ves,0202301,2017,54,7.1,35.5,2,43.9,592,94.9
02023,Casas de Ves,0202301,2016,53.1,8.7,34.7,2,44,629,94.4
02023,Casas de Ves,0202301,2015,52.4,9.4,34.9,2.1,45.6,657,94.2
02024,Casas-Ibáñez,0202401,2022,43.5,16.8,19.1,2.5,28.4,3859,85.7
02024,Casas-Ibáñez,0202401,2021,43.4,16.6,18.9,2.5,27.5,3824,87.4
02024,Casas-Ibáñez,0202401,2020,43.2,17,18.7,2.5,28,3794,87.7
02024,Casas-Ibáñez,0202401,2019,43.2,17.3,19.1,2.6,26.9,3817,87.9
02024,Casas-Ibáñez,0202401,2018,43.2,17.3,19.4,2.6,26.6,3775,89.2
02024,Casas-Ibáñez,0202401,2017,43.1,17.2,19.4,2.6,26.5,3777,89.9
02024,Casas-Ibáñez,0202401,2016,42.9,17.4,19.4,2.6,25.4,3777,90.1
02024,Casas-Ibáñez,0202401,2015,42.7,17.4,19.4,2.6,26.1,3788,90.4
02024,Casas-Ibáñez,0202402,2022,47.3,13.3,27.5,2.4,33.1,716,80.5
02024,Casas-Ibáñez,0202402,2021,46.9,13.6,26.4,2.4,33.1,713,82.8
02024,Casas-Ibáñez,0202402,2020,46.1,14.8,25.9,2.5,30.7,722,82.7
02024,Casas-Ibáñez,0202402,2019,46.1,14.3,25.6,2.5,29.4,702,84.1
02024,Casas-Ibáñez,0202402,2018,46,14.7,25.5,2.5,28.8,740,81.5
02024,Casas-Ibáñez,0202402,2017,46.3,14.6,25.2,2.5,28.8,734,83.2
02024,Casas-Ibáñez,0202402,2016,45.6,15.3,24.5,2.5,28.5,759,82.3
02024,Casas-Ibáñez,0202402,2015,45.4,14.7,24.3,2.5,28.4,753,83.4
02025,Caudete,0202501,2022,43,18.6,19.4,2.5,28.2,10077,89.4
02025,Caudete,0202501,2021,42.7,18.7,18.9,2.5,28.4,10025,89.6
02025,Caudete,0202501,2020,42.5,18.6,18.6,2.5,28.3,9959,89.8
02025,Caudete,0202501,2019,42.3,18.8,18.5,2.5,27.8,9911,89.7
02025,Caudete,0202501,2018,42,19,18.2,2.5,28,9903,90.2
02025,Caudete,0202501,2017,41.8,18.9,17.9,2.6,27.3,9885,90.5
02025,Caudete,0202501,2016,41.5,19,17.7,2.6,26.4,9933,91.1
02025,Caudete,0202501,2015,41.3,18.8,17.6,2.6,26.4,9986,90.3
02026,Cenizate,0202601,2022,44.9,15.5,21.2,2.7,25.2,1163,83.2
02026,Cenizate,0202601,2021,44.8,16.2,21.7,2.7,25.5,1172,83.4
02026,Cenizate,0202601,2020,44.1,17.1,21.5,2.7,24.9,1192,83.9
02026,Cenizate,0202601,2019,43.7,17,21.2,2.7,24.6,1202,82.8
02026,Cenizate,0202601,2018,43.5,17.1,21.6,2.8,24.2,1177,83.4
02026,Cenizate,0202601,2017,43.3,17.5,22,2.8,25.6,1181,84
02026,Cenizate,0202601,2016,43.2,17.9,21.9,2.8,22.8,1187,83.6
02026,Cenizate,0202601,2015,43.1,17.6,22.2,2.8,24.4,1202,83.5
02027,Corral-Rubio,0202701,2022,49.7,10.9,30.5,2.3,39.4,302,95.7
02027,Corral-Rubio,0202701,2021,50.6,9.3,30.7,2.2,42.7,300,98.7
02027,Corral-Rubio,0202701,2020,50.3,10.8,30.2,2.2,39.7,305,97.1
02027,Corral-Rubio,0202701,2019,50,10.9,29.6,2.3,39.4,311,96.8
02027,Corral-Rubio,0202701,2018,50.6,10.8,31.5,2.3,39.3,324,97.8
02027,Corral-Rubio,0202701,2017,51.1,11.6,33.1,2.4,35.7,329,98.2
02027,Corral-Rubio,0202701,2016,50.4,11.6,32,2.5,35.7,344,96.8
02027,Corral-Rubio,0202701,2015,51.4,9.3,34.1,2.4,33.6,355,98.3
02028,Cotillas,0202801,2022,56.1,4.6,32.3,1.8,47.9,130,98.5
02028,Cotillas,0202801,2021,55.5,3.9,29.5,1.8,47.9,129,97.7
02028,Cotillas,0202801,2020,55.4,3.8,31.1,1.9,46.5,132,97.8
02028,Cotillas,0202801,2019,56.6,3.4,33.1,1.8,44.8,131,97.5
02028,Cotillas,0202801,2018,56.7,3.5,32.8,1.8,44.9,128,97.6
02028,Cotillas,0202801,2017,56.1,4.6,33.1,2,38.5,130,97.7
02028,Cotillas,0202801,2016,56.3,6,34.3,2,37.3,134,97.7
02028,Cotillas,0202801,2015,55.4,6.3,33.8,1.9,41.1,142,97.8
02029,Chinchilla de Monte-Aragón,0202901,2022,39.5,20.2,11.5,2.5,31.2,2537,94.6
02029,Chinchilla de Monte-Aragón,0202901,2021,39.2,20.2,11.2,2.5,32.1,2471,94.8
02029,Chinchilla de Monte-Aragón,0202901,2020,38.8,20.9,11.2,2.5,31.8,2379,94.7
02029,Chinchilla de Monte-Aragón,0202901,2019,38.6,21,11.2,2.5,32.6,2332,94.7
